Supplementary Table S4. Listing of significantly differentially abundant functional Metacyc pathways. The 'metadata' column refers to host classification by taxon or environment and corresponds to the 'value' column which can be 'captivity' or 'wild' for 'Host environment' or 'Leontopithecus rosalia' or 'Callithrix' for 'Host Taxon'
Feature ID	MetaCyc Pathway Name	General Metacyc Functional Class	metadata	value	coef	stderr	N	N.not.0	pval	qval
X621	PWY-5154_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	Amino Acid Biosynthesis	Host Environment	Captivity	0.721704516184638	0.147885540002463	21	7	0.000120415783164962	0.0705636489346679
X182	FERMENTATION-PWY_mixed_acid_fermentation	Fermentation	Host Environment	Captivity	0.257298594549768	0.076113684377475	21	5	0.00333267666969283	0.149025697539974
X256	GLYCOLYSIS-E-D_superpathway_of_glycolysis_and_Entner-Doudoroff	Glycolysis-E-D	Host Environment	Captivity	0.258356077914249	0.0771064945246792	21	5	0.0035598882983602	0.149025697539974
X271	HEME-BIOSYNTHESIS-II_heme_biosynthesis_I_(aerobic)	Heme Biosynthesis	Host Environment	Captivity	0.412665358008929	0.121014196789205	21	6	0.00312119734678284	0.149025697539974
X280	HEXITOLDEGSUPER-PWY_superpathway_of_hexitol_degradation_(bacteria)	Sugar Alcohol Degradation	Host Environment	Captivity	0.193536517440397	0.0535021092473384	21	5	0.00196962880071022	0.149025697539974
X403	P161-PWY_acetylene_degradation	Fermentation	Host Environment	Captivity	0.220106529396788	0.0663098268388495	21	5	0.00381465096092085	0.149025697539974
X415	P4-PWY_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	Amino Acid Biosynthesis	Host Environment	Captivity	0.220019331159423	0.0656423661685516	21	5	0.00355085559869875	0.149025697539974
X422	P461-PWY_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	Fermentation	Host Environment	Captivity	0.28011909933988	0.0841812464471171	21	5	0.00374611740699359	0.149025697539974
X448	PHOSLIPSYN-PWY_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	Fatty Acid and Lipid Degradation	Host Environment	Captivity	0.294409466130489	0.0883890614983157	21	5	0.00371919060403724	0.149025697539974
X745	PWY-5837_1,4-dihydroxy-2-naphthoate_biosynthesis_I	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.246509580258968	0.0716701690407728	21	5	0.00292403321147015	0.149025697539974
X750	PWY-5840_superpathway_of_menaquinol-7_biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.266255762409444	0.0780148180073992	21	5	0.00310169221867745	0.149025697539974
X781	PWY-5897_superpathway_of_menaquinol-11_biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.243695453228621	0.0710783892471816	21	5	0.00299591605079709	0.149025697539974
X783	PWY-5898_superpathway_of_menaquinol-12_biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.243695453228621	0.0710783892471816	21	5	0.00299591605079709	0.149025697539974
X785	PWY-5899_superpathway_of_menaquinol-13_biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.243695453228621	0.0710783892471816	21	5	0.00299591605079709	0.149025697539974
X687	PWY-5659_GDP-mannose_biosynthesis	Carbohydrate Biosynthesis	Host Environment	Captivity	0.341761426908129	0.104400200164787	21	5	0.00422035890304419	0.154570644823994
X21	ARG+POLYAMINE-SYN_superpathway_of_arginine_and_polyamine_biosynthesis	Amine and Polyamine Biosynthesis	Host Environment	Captivity	0.373503234794827	0.118191170807206	21	5	0.00541624359512666	0.15640377351795
X161	"FAO-PWY_fatty_acid_&beta;-oxidation_I"	Fatty Acid and Lipid Degradation	Host Environment	Captivity	0.316630939116468	0.107023251397074	21	5	0.00840977291533062	0.15640377351795
X283	HISDEG-PWY_L-histidine_degradation_I	Amino Acid Degradation 	Host Environment	Captivity	0.41161105474233	0.138189443101415	21	6	0.00805125992183689	0.15640377351795
X455	POLYAMSYN-PWY_superpathway_of_polyamine_biosynthesis_I	Amine and Polyamine Biosynthesis	Host Environment	Captivity	0.441455833892601	0.144816820275987	21	5	0.00691693426420967	0.15640377351795
X479	PWY-1269_CMP-3-deoxy-D-manno-octulosonate_biosynthesis_I	Lipopolysaccharide Biosynthesis	Host Environment	Captivity	0.384609822761666	0.129532676668853	21	5	0.00821705146612938	0.15640377351795
X562	PWY-5083_NAD/NADH_phosphorylation_and_dephosphorylation	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.517424452911673	0.171412871653588	21	5	0.00738081449873988	0.15640377351795
X602	"PWY-5136_fatty_acid_&beta;-oxidation_II_(peroxisome)"	Fatty Acid and Lipid Degradation	Host Environment	Captivity	0.299811941314306	0.0972616016346936	21	5	0.00641988810300178	0.15640377351795
X642	PWY-5188_tetrapyrrole_biosynthesis_I_(from_glutamate)	Tetrapyrrole Biosynthesis	Host Environment	Captivity	0.282429306946373	0.0938038941982494	21	5	0.00750616786169853	0.15640377351795
