ID	Pathway Number for MaAsLin	MLDAfe	MLDIgar	MLDIgua	MLDRV	Merged_LrAfef	Merged_LrIgarf	Merged_LrNEs1f	Merged_LrNEs2f	Merged_LrRVf	Merged_LrStH1f	Merged_LrStH2f	P1	P2	P3	P4	P7	P8	PoolRosalia	SAfe	SIgar	SIgua
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1	0	68.4984	0	0	0	74.907	0	0	0	22.8011	0	67.8096	99.0399	131.827	115.854	115.75	130.305	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterococcus.s__Enterococcus_italicus	2	0	0	0	0	0	0	0	0	0	0	0	0	9.72604	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6879	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Paraburkholderia.s__Paraburkholderia_insulsa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.22	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Pseudomonas.s__Pseudomonas_helleri	5	0	0	0	0	0	0	0	0	0	0	0	0	28.4108	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Serratia.s__Serratia_marcescens	6	0	0	0	0	0	0	0	0	0	0	0	0	0	58.4521	43.7471	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	7	0	0	0	0	0	0	0	0	0	22.8011	0	0	0	0	16.2161	52.0162	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2594	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3159	18.6225	69.4129	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|g__Paraburkholderia.s__Paraburkholderia_fungorum	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1184	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	11	0	0	0	0	0	0	0	0	0	51.0503	0	62.4569	102.695	66.0675	67.7032	115.846	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Kluyvera.s__Kluyvera_ascorbata	12	0	0	0	0	0	0	0	0	0	0	0	13.3827	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Serratia.s__Serratia_marcescens	13	0	0	0	0	0	0	0	0	0	0	0	0	0	50.6529	32.3631	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.14407	55.12	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	15	125.805	170.698	126.477	0	0	178.527	0	121.259	0	92.8282	0	67.2004	124.411	96.7702	90.3996	127.799	0	0	135.682	0	0
