OTUID	MLDAfe	MLDIgar	MLDIgua	P1	P2	P3	P4	P7	P8	PoolRosalia	SIgar	SAfe	SIgua	LrAfef	LrNEs2F	LrRVf	LrStH1f	LrStH2f
1	188	7829	3871	0	0	0	0	0	0	0	0	1086	0	0	10501	0	451	0
2	0	0	0	834	2493	1578	403	469	0	0	0	9469	337	0	0	0	0	0
3	0	300	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	1728	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	131	0	467	1258	0	0	0	2002	0	0	0	0	0	0
6	0	0	0	537	0	0	0	91	0	0	0	363	0	0	0	0	0	0
7	0	0	0	0	0	2472	0	1967	0	0	0	0	0	0	0	0	0	0
8	0	2788	0	0	243	0	0	0	0	0	0	2707	0	0	556	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	664	0
10	0	0	0	594	0	0	0	3329	0	1127	0	0	0	0	85	0	0	0
11	0	0	0	0	0	0	0	1921	0	0	0	0	0	0	175	0	218	0
12	0	95	0	0	0	0	0	7440	0	0	0	0	0	0	651	0	401	0
13	186	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0	1364	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	70	0
16	0	0	0	0	0	0	0	2127	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	5370	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	888	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	1044	0	0	0	0	0	0	0	0	0	0
20	0	0	0	2754	0	0	0	0	0	3452	0	0	0	0	0	0	0	0
21	0	0	0	2196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	39336	0	0	0	0	0	0	0	0	0	0
23	0	0	0	3892	33753	5003	37428	31145	0	0	0	0	0	0	0	0	0	0
24	0	0	0	2221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	13637	11397	2303	2423	11873	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	38001	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	26277	0	26947	4346	0	0	0	0	0	0	0	0	0	0
28	0	0	0	1351	76894	21599	70707	47603	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	235	3982	0	0	0	0	0	0	0	0	0	0	0	0
32	1858	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0
33	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0
34	0	0	0	7849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	1450	0	0	0	858	0
36	0	0	0	0	0	0	0	0	0	941	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0	775	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	91375	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	139563	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	142198	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	0
44	0	0	0	7564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	6297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	3980	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	62317	0	61972	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0	12831	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	46992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	25834	92478	0	0	0	0	0	0	0	0	0	0	0
52	0	0	0	6404	89780	0	0	53191	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	0	0	0	32639	0	0	0	3201
54	0	0	0	860	0	0	0	318	0	0	0	0	0	0	0	0	0	0
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	0	0
